id,state,lat,long,status
1,Wyoming,41.5735,-105.6112,Pending
2,Wisconsin,43.8967,-89.8219,Pending
3,Alabama,32.4625,-86.7149,Pending
4,Kentucky,36.9553,-85.4036,Pending
5,Washington,46.8591,-118.1611,Pending
6,Vermont,44.146,-73.0717,Pending
7,Mexico,40.8224,-86.1162,Pending
8,Jersey,39.638,-74.7728,Pending
9,Alaska,54.143,-165.7854,Pending
10,Kansas,37.8035,-95.1546,Pending
11,Indiana,40.6716,-84.9343,Pending
12,Illinois,39.9307,-91.3763,Pending
13,Virginia,37.7159,-75.6803,Pending
14,Utah,38.2807,-112.6299,Pending
15,Hampshire,42.0807,-88.517,Pending
16,Nebraska,40.5877,-98.3911,Pending
17,Idaho,43.7069,-116.362,Pending
18,Iowa,41.5137,-94.6444,Pending
19,Hawaii,19.4386,-155.8875,Pending
20,Texas,32.0535,-95.5163,Pending
21,Tennessee,36.1915,-84.0544,Pending
22,Carolina,41.4691,-71.6751,Pending
23,Montana,44.723,-112.6972,Pending
24,Georgia,31.7837,-82.3486,Pending
25,Florida,29.6489,-82.325,Pending
26,Dakota,42.4031,-89.5468,Pending
27,Island,37.4471,-87.1692,Pending
28,Mississippi,31.5492,-91.3642,Pending
29,Missouri,40.1908,-92.5856,Pending
30,Minnesota,46.9968,-93.5994,Pending
31,Delaware,39.1564,-75.4955,Pending
32,Columbia,31.3352,-85.1455,Pending
33,Rico,37.6905,-108.0324,Pending
34,Pennsylvania,39.8881,-76.9931,Pending
35,Michigan,44.702,-83.5994,Pending
36,Maine,44.0948,-70.239,Pending
37,Maryland,39.6529,-78.7625,Pending
38,Connecticut,41.3665,-73.2571,Pending
39,Colorado,39.7378,-104.8152,Pending
40,California,37.7706,-122.2648,Pending
41,Oregon,44.7749,-117.8344,Pending
42,Oklahoma,36.0308,-94.7613,Pending
43,Massachusetts,41.7455,-70.5905,Pending
44,Louisiana,30.3446,-92.3459,Pending
45,Arizona,33.8279,-109.1283,Pending
46,Arkansas,34.4146,-91.431,Pending
47,Ohio,38.7498,-83.6126,Pending
48,New York,42.4561,-73.9277,Pending
49,Nevada,39.4703,-118.7861,Pending
